accuracy,precision,recall,f1-score,FN,FP,TN,TP
0.570666666667,0.570669143543,0.570666666667,0.570620986944,546,394,411,524
0.559466666667,0.559511155927,0.559466666667,0.559437343358,518,422,404,531
0.555733333333,0.556493704753,0.555733333333,0.55386043831,583,357,476,459
0.577066666667,0.58167015544,0.577066666667,0.570518223024,658,282,511,424
0.520120724346,0.522272720832,0.520120724346,0.517711857773,228,279,198,289
0.513078470825,0.519365180823,0.513078470825,0.497425683537,172,335,149,338
0.506036217304,0.501746152683,0.506036217304,0.475620186751,376,131,360,127
0.517102615694,0.52218173519,0.517102615694,0.506830194427,190,317,163,324
0.502012072435,0.509503110306,0.502012072435,0.470020675936,132,375,120,367
0.503731343284,0.501195624016,0.503731343284,0.498738052677,52,78,55,83
0.514925373134,0.530289727831,0.514925373134,0.483957090101,100,30,100,38
0.455223880597,0.447014925373,0.455223880597,0.41077827645,96,34,112,26
0.526119402985,0.548503128955,0.526119402985,0.490755179327,104,26,101,37
0.541044776119,0.540323726987,0.541044776119,0.530096761853,50,80,43,95
0.60651465798,0.607083862148,0.60651465798,0.605304294923,513,264,340,418
0.571335504886,0.574776431827,0.571335504886,0.568234366278,378,399,259,499
0.603908794788,0.603895478419,0.603908794788,0.603605509542,490,287,321,437
0.6,0.60008148631,0.6,0.600015279202,465,312,302,456
0.598697068404,0.599076070849,0.598697068404,0.598626211846,453,324,292,466
0.670588235294,0.703009954533,0.670588235294,0.658941176471,144,23,89,84
0.664705882353,0.694056204634,0.664705882353,0.65361664392,142,25,89,84
0.682352941176,0.743534256892,0.682352941176,0.663349110417,155,12,96,77
0.661764705882,0.68257502268,0.661764705882,0.653712124873,137,30,85,88
0.638235294118,0.65261262211,0.638235294118,0.631534357552,130,37,86,87
0.520754716981,0.531031993437,0.520754716981,0.519566657894,132,156,98,144
0.575471698113,0.573159818577,0.575471698113,0.573576722229,185,103,122,120
0.481132075472,0.502697017651,0.481132075472,0.459166690079,84,204,71,171
0.58679245283,0.583654545062,0.58679245283,0.583205433053,194,94,125,117
0.560377358491,0.555820217936,0.560377358491,0.555052250035,191,97,136,106
0.624,0.641933029522,0.624,0.621811955947,145,127,61,167
0.67,0.670119724778,0.67,0.670057182925,189,83,82,146
0.666,0.666121078329,0.666,0.666057876051,188,84,83,145
0.654,0.654125138981,0.654,0.65405995543,185,87,86,142
0.636,0.639433179724,0.636,0.636700493938,171,101,81,147
0.576885406464,0.597112446675,0.576885406464,0.55395949825,410,100,332,179
0.484818805093,0.479697899751,0.484818805093,0.451812577064,122,388,138,373
0.54652301665,0.548672577306,0.54652301665,0.541722853162,331,179,284,227
0.503428011753,0.503932191631,0.503428011753,0.479817163335,148,362,145,366
0.532810969638,0.532814791844,0.532810969638,0.532808280617,273,237,240,271
0.433272394881,0.431148712732,0.433272394881,0.365507887499,39,258,52,198
0.53747714808,0.524559454463,0.53747714808,0.508864885057,225,72,181,69
0.442413162706,0.452297188966,0.442413162706,0.395658857858,55,242,63,187
0.517367458867,0.504944343863,0.517367458867,0.500045335729,205,92,172,78
0.431444241316,0.440779655424,0.431444241316,0.422712107268,94,203,108,142
0.495470383275,0.483215620611,0.495470383275,0.434663416507,596,133,591,115
0.50243902439,0.508420251866,0.50243902439,0.471790597166,193,536,178,528
0.51637630662,0.515943883025,0.51637630662,0.51562914259,405,324,370,336
0.518466898955,0.521505372072,0.518466898955,0.512485200577,298,431,260,446
0.515679442509,0.526004045779,0.515679442509,0.485295687714,201,528,167,539
0.548270893372,0.548082061876,0.548270893372,0.548112455265,403,306,321,358
0.529538904899,0.532273526486,0.529538904899,0.526838416427,322,387,266,413
0.518011527378,0.518838840074,0.518011527378,0.517778563392,350,359,310,369
0.546109510086,0.546167600035,0.546109510086,0.54613402091,392,317,313,366
0.529538904899,0.53167722079,0.529538904899,0.527783156137,332,377,276,403
0.573913043478,0.585289241776,0.573913043478,0.559214643304,45,70,28,87
0.617391304348,0.628635346756,0.617391304348,0.608843537415,88,27,61,54
0.64347826087,0.659066141336,0.64347826087,0.634524455469,92,23,59,56
0.608695652174,0.612824739031,0.608695652174,0.605082417582,81,34,56,59
0.560869565217,0.560911016949,0.560869565217,0.560794842223,63,52,49,66
0.651063829787,0.652504091653,0.651063829787,0.650075126602,70,47,35,83
0.672340425532,0.675823483058,0.672340425532,0.67051415953,70,47,30,88
0.655319148936,0.655538463439,0.655319148936,0.65513178505,74,43,38,80
0.655319148936,0.657081370797,0.655319148936,0.654179169745,70,47,34,84
0.676595744681,0.676847472999,0.676595744681,0.67652545978,81,36,40,78
0.482062780269,0.487478888824,0.482062780269,0.462844136368,69,162,69,146
0.522421524664,0.530471694141,0.522421524664,0.51351564938,90,141,72,143
0.589686098655,0.589077524851,0.589686098655,0.588522525944,148,83,100,115
0.526905829596,0.530771666784,0.526905829596,0.52476675057,106,125,86,129
0.565022421525,0.565323341631,0.565022421525,0.565127461086,132,99,95,120
0.599348534202,0.599344248243,0.599348534202,0.599340031863,93,61,62,91
0.667752442997,0.68398246522,0.667752442997,0.659948018635,126,28,74,79
0.612377850163,0.612456058172,0.612377850163,0.612254420652,97,57,62,91
0.618892508143,0.619645957039,0.618892508143,0.618155034979,102,52,65,88
0.622149837134,0.622154538661,0.622149837134,0.622125780459,97,57,59,94
0.578713968958,0.577681967105,0.578713968958,0.577788120588,149,89,101,112
0.587583148559,0.587279170004,0.587583148559,0.578079374742,173,65,121,92
0.563192904656,0.560976017364,0.563192904656,0.55940643614,155,83,114,99
0.529933481153,0.536642528258,0.529933481153,0.527696172042,109,129,83,130
0.580931263858,0.583464818689,0.580931263858,0.562207124871,184,54,135,78
0.441121495327,0.453239318169,0.441121495327,0.429513112071,90,202,97,146
0.469158878505,0.478109565281,0.469158878505,0.468431739543,122,170,114,129
0.52523364486,0.519547873658,0.52523364486,0.520026529997,183,109,145,98
0.581308411215,0.576672643321,0.581308411215,0.562435229105,224,68,156,87
0.573831775701,0.568404792556,0.573831775701,0.56472614649,206,86,142,101
0.548484848485,0.550275362765,0.548484848485,0.545670046109,78,88,61,103
0.59696969697,0.600049500771,0.59696969697,0.593145411878,115,51,82,82
0.569696969697,0.569884135472,0.569696969697,0.569602123138,92,74,68,96
0.563636363636,0.565144726838,0.563636363636,0.561866778383,83,83,61,103
0.536363636364,0.540778678807,0.536363636364,0.526355720556,65,101,52,112
0.570967741935,0.570952277859,0.570967741935,0.570811406978,92,64,69,85
0.558064516129,0.558141464928,0.558064516129,0.558050719873,86,70,67,87
0.596774193548,0.600800633059,0.596774193548,0.591865357644,110,46,79,75
0.616129032258,0.617269721844,0.616129032258,0.61483394538,105,51,68,86
0.61935483871,0.624838709677,0.61935483871,0.614440387026,114,42,76,78
