accuracy,precision,recall,f1-score,FN,FP,TN,TP
0.709320695103,0.709107566191,0.709320695103,0.709150293274,244,89,95,205
0.676145339652,0.675742157128,0.676145339652,0.675454018543,239,94,111,189
0.720379146919,0.723187255552,0.720379146919,0.717712639846,268,65,112,188
0.712480252765,0.714029081093,0.712480252765,0.710356725696,262,71,111,189
0.710900473934,0.710634923711,0.710900473934,0.710466722735,248,85,98,202
0.722846441948,0.726729263246,0.722846441948,0.716345309104,125,23,51,68
0.711610486891,0.715169597325,0.711610486891,0.704469211057,124,24,53,66
0.711610486891,0.722223807807,0.711610486891,0.700138065249,129,19,58,61
0.704119850187,0.706167445972,0.704119850187,0.697555637511,122,26,53,66
0.715355805243,0.716170281387,0.715355805243,0.710706218904,121,27,49,70
0.727064220183,0.739279961468,0.727064220183,0.721842461553,192,33,86,125
0.674311926606,0.674162186256,0.674311926606,0.674009619257,158,67,75,136
0.727064220183,0.738231701237,0.727064220183,0.722196424185,191,34,85,126
0.724770642202,0.731764370049,0.724770642202,0.721308193285,186,39,81,130
0.715596330275,0.722171629961,0.715596330275,0.712018466394,184,41,83,128
0.898305084746,0.89892368976,0.898305084746,0.898241923108,137,12,18,128
0.88813559322,0.889518241911,0.88813559322,0.887996536857,137,12,21,125
0.88813559322,0.889518241911,0.88813559322,0.887996536857,137,12,21,125
0.901694915254,0.902123444532,0.901694915254,0.901649697244,137,12,17,129
0.901694915254,0.902123444532,0.901694915254,0.901649697244,137,12,17,129
0.645070422535,0.654818001003,0.645070422535,0.63966255982,136,41,85,93
0.602816901408,0.60286701784,0.602816901408,0.602722325747,104,73,68,110
0.732394366197,0.736459336665,0.732394366197,0.73131576677,141,36,59,119
0.608450704225,0.614199063285,0.608450704225,0.603792882757,127,50,89,89
0.605633802817,0.607752348555,0.605633802817,0.603899164734,119,58,82,96
0.486899563319,0.510633601804,0.486899563319,0.464221800255,73,176,59,150
0.489082969432,0.529265173388,0.489082969432,0.440443584639,53,196,38,171
0.524017467249,0.511643141989,0.524017467249,0.505475570383,175,74,144,65
0.53056768559,0.512944936604,0.53056768559,0.492700011251,194,55,160,49
0.545851528384,0.532449923024,0.545851528384,0.44798415565,230,19,189,20
0.568533333333,0.568674014852,0.568533333333,0.568182508377,561,379,430,505
0.557333333333,0.557609313383,0.557333333333,0.556973456486,497,443,387,548
0.568,0.568085060769,0.568,0.567757282371,556,384,426,509
0.572266666667,0.573072354061,0.572266666667,0.570830105523,592,348,454,481
0.570666666667,0.570966947969,0.570666666667,0.570042141611,572,368,437,498
0.518108651911,0.518332123196,0.518108651911,0.518156940795,262,245,234,253
0.512072434608,0.512687286183,0.512072434608,0.511943532892,250,257,228,259
0.496981891348,0.514109169112,0.496981891348,0.403028103787,54,453,47,440
0.519114688129,0.524283730552,0.519114688129,0.509174070356,192,315,163,324
0.504024144869,0.504536775568,0.504024144869,0.503961395586,248,259,234,253
0.723880597015,0.725746268657,0.723880597015,0.723803704951,98,32,42,96
0.708955223881,0.713004146123,0.708955223881,0.708436080467,99,31,47,91
0.712686567164,0.723364157008,0.712686567164,0.71062407621,105,25,52,86
0.675373134328,0.677975576662,0.675373134328,0.675079247975,93,37,50,88
0.720149253731,0.721186927678,0.720149253731,0.720176528493,96,34,41,97
0.597394136808,0.602732501013,0.597394136808,0.590194865421,565,212,406,352
0.579153094463,0.580192007741,0.579153094463,0.578598524272,421,356,290,468
0.594788273616,0.595302319042,0.594788273616,0.593420542603,506,271,351,407
0.60651465798,0.60742346107,0.60651465798,0.604868103036,520,257,347,411
0.592182410423,0.592264080459,0.592182410423,0.591542025604,490,287,339,419
0.711764705882,0.726734960027,0.711764705882,0.70795196298,139,28,70,103
0.729411764706,0.754414262025,0.729411764706,0.723708343441,147,20,72,101
0.697058823529,0.764744609965,0.697058823529,0.678457245241,158,9,94,79
0.714705882353,0.730595776772,0.714705882353,0.710732329279,140,27,70,103
0.655882352941,0.681062951496,0.655882352941,0.645626837011,139,28,89,84
0.498113207547,0.527314497996,0.498113207547,0.472006569723,83,205,61,181
0.609433962264,0.618264150943,0.609433962264,0.580147383335,243,45,162,80
0.507547169811,0.529157271358,0.507547169811,0.494705217449,102,186,75,167
0.566037735849,0.561451114923,0.566037735849,0.560165909756,194,94,136,106
0.530188679245,0.536867890551,0.530188679245,0.530645357308,144,144,105,137
0.626,0.655827756805,0.626,0.619959592701,134,138,49,179
0.664,0.662626391097,0.664,0.661765258216,200,72,96,132
0.674,0.674371457539,0.674,0.674161477777,189,83,80,148
0.668,0.669792307692,0.668,0.668512049354,183,89,77,151
0.652,0.653139188495,0.652,0.652402985075,181,91,83,145
0.58570029383,0.59504058274,0.58570029383,0.575471033396,378,132,291,220
0.48971596474,0.488598143757,0.48971596474,0.478534094232,175,335,186,325
0.56611165524,0.573762602569,0.56611165524,0.554837014957,370,140,303,208
0.56611165524,0.572771750271,0.56611165524,0.556212566572,365,145,298,213
0.475024485798,0.456864053414,0.475024485798,0.41438312668,78,432,104,407
0.572212065814,0.571431369169,0.572212065814,0.57175310305,183,114,120,130
0.561243144424,0.575207425116,0.561243144424,0.472256861629,276,21,219,31
0.478976234004,0.527114460004,0.478976234004,0.402739750171,43,254,31,219
0.484460694698,0.481407768302,0.484460694698,0.482415902482,165,132,150,100
0.586837294333,0.583080346268,0.586837294333,0.580754178781,207,90,136,114
0.496167247387,0.494701499216,0.496167247387,0.492121022964,426,303,420,286
0.517770034843,0.517904273023,0.517770034843,0.517800948462,377,352,340,366
0.505923344948,0.506849122769,0.505923344948,0.504924287544,336,393,316,390
0.526829268293,0.530333812699,0.526829268293,0.520951448902,304,425,254,452
0.521254355401,0.521970071964,0.521254355401,0.520844972481,358,371,316,390
0.544668587896,0.544361510597,0.544668587896,0.544323906718,406,303,329,350
0.543948126801,0.544181705686,0.543948126801,0.544001395066,385,324,309,370
0.541066282421,0.540620698689,0.541066282421,0.54037101624,411,298,339,340
0.544668587896,0.544487919309,0.544668587896,0.544522852167,400,309,323,356
0.525936599424,0.527572937102,0.525936599424,0.524818736934,338,371,287,392
0.747826086957,0.748126277538,0.747826086957,0.747749791998,84,31,27,88
0.747826086957,0.781935483871,0.747826086957,0.739961013645,106,9,49,66
0.726086956522,0.735507246377,0.726086956522,0.723320158103,95,20,43,72
0.769565217391,0.777129975124,0.769565217391,0.767981880127,98,17,36,79
0.721739130435,0.731836508815,0.721739130435,0.718675942206,95,20,44,71
0.63829787234,0.638995923382,0.63829787234,0.637707338254,70,47,38,80
0.655319148936,0.661219254565,0.655319148936,0.651837587887,65,52,29,89
0.676595744681,0.677324484352,0.676595744681,0.676173484664,75,42,34,84
0.659574468085,0.662391644055,0.659574468085,0.657888947758,69,48,32,86
0.659574468085,0.659596053037,0.659574468085,0.659537476032,76,41,39,79
0.62331838565,0.625528659172,0.62331838565,0.623166879722,137,94,74,141
0.652466367713,0.65222057025,0.652466367713,0.651945559139,159,72,83,132
0.692825112108,0.701767113226,0.692825112108,0.687039329794,189,42,95,120
0.659192825112,0.659542356427,0.659192825112,0.657750013988,166,65,87,128
0.67264573991,0.673177108325,0.67264573991,0.671259881857,169,62,84,131
0.615635179153,0.615638497879,0.615635179153,0.615610707709,96,58,60,93
0.654723127036,0.662455570627,0.654723127036,0.650306207974,118,36,70,83
0.625407166124,0.627206551641,0.625407166124,0.62389041819,106,48,67,86
0.618892508143,0.619083602191,0.618892508143,0.618665911344,99,55,62,91
0.631921824104,0.632101003488,0.631921824104,0.631843703239,95,59,54,99
0.569844789357,0.567701404287,0.569844789357,0.563759401031,162,76,118,95
