accuracy,precision,recall,f1-score,FN,FP,TN,TP
0.720588235294,0.765734047856,0.720588235294,0.70970771876,154,13,82,91
0.732352941176,0.756615988251,0.732352941176,0.726944620683,147,20,71,102
0.708823529412,0.715030902913,0.708823529412,0.707389884983,131,36,63,110
0.503773584906,0.529196357708,0.503773584906,0.485166383115,93,195,68,174
0.584905660377,0.580933890287,0.584905660377,0.571074374314,215,73,147,95
0.579245283019,0.576781088808,0.579245283019,0.577103537984,187,101,122,120
0.518867924528,0.533653831281,0.518867924528,0.514385215411,121,167,88,154
0.535849056604,0.541617736667,0.535849056604,0.53652356965,148,140,106,136
0.63,0.640158783947,0.63,0.629933399734,157,115,70,158
0.642,0.647569582553,0.642,0.642623481133,168,104,75,153
0.666,0.667276700197,0.666,0.66642291227,184,88,79,149
0.65,0.654580659615,0.65,0.650665961649,172,100,75,153
0.652,0.650735507483,0.652,0.650854279181,192,80,94,134
0.596474045054,0.630489173215,0.596474045054,0.568614139167,434,76,336,175
0.499510284035,0.499347897802,0.499510284035,0.491580938178,191,319,192,319
0.558276199804,0.56336672373,0.558276199804,0.549502018749,356,154,297,214
0.534769833497,0.534875777587,0.534769833497,0.534501911933,285,225,250,261
0.492654260529,0.490872323024,0.492654260529,0.469677279718,145,365,153,358
0.601462522852,0.598576450667,0.601462522852,0.597388802334,206,91,127,123
0.524680073126,0.514090859815,0.524680073126,0.509724018246,204,93,167,83
0.460694698355,0.483300957051,0.460694698355,0.396999467009,47,250,45,205
0.506398537477,0.490826667183,0.506398537477,0.485529073825,206,91,179,71
0.575868372943,0.573956202491,0.575868372943,0.574420314821,189,108,124,126
0.529616724739,0.530895060825,0.529616724739,0.512528501151,520,209,466,240
0.512891986063,0.514595053964,0.512891986063,0.44123781527,630,99,600,106
0.510104529617,0.508936160962,0.510104529617,0.504967789354,445,284,419,287
0.501742160279,0.503380661434,0.501742160279,0.497939169049,303,426,289,417
0.503135888502,0.525754036796,0.503135888502,0.411739118263,83,646,67,639
0.547550432277,0.547043574646,0.547550432277,0.546055267933,428,281,347,332
0.538904899135,0.539088857725,0.538904899135,0.538956604829,383,326,314,365
0.536023054755,0.535740550995,0.536023054755,0.535747153627,398,311,333,346
0.543948126801,0.544250938266,0.543948126801,0.54399760443,383,326,307,372
0.531700288184,0.533251107513,0.531700288184,0.530789115918,345,364,286,393
0.74347826087,0.760012919897,0.74347826087,0.739334216946,100,15,44,71
0.747826086957,0.774750607763,0.747826086957,0.741492907527,104,11,47,68
0.791304347826,0.794511123003,0.791304347826,0.790734703162,97,18,30,85
0.747826086957,0.75155422519,0.747826086957,0.746888281724,93,22,36,79
0.734782608696,0.744565217391,0.734782608696,0.732103645147,96,19,42,73
0.642553191489,0.644424204866,0.642553191489,0.641188394584,68,49,35,83
0.655319148936,0.655959734615,0.655319148936,0.655056839495,80,37,44,74
0.659574468085,0.65971028271,0.659574468085,0.659451125501,75,42,38,80
0.668085106383,0.668232033114,0.668085106383,0.667964847364,76,41,37,81
0.659574468085,0.667468760554,0.659574468085,0.655189215527,64,53,27,91
0.627802690583,0.629145644842,0.627802690583,0.627855083222,141,90,76,139
0.643497757848,0.643236511576,0.643497757848,0.643208440196,155,76,83,132
0.670403587444,0.671496927996,0.670403587444,0.668461804015,171,60,87,128
0.670403587444,0.67283586395,0.670403587444,0.66740672222,175,56,91,124
0.670403587444,0.671496927996,0.670403587444,0.668461804015,171,60,87,128
0.628664495114,0.629133954946,0.628664495114,0.628230544477,102,52,62,91
0.671009771987,0.695824601056,0.671009771987,0.659888528012,131,23,78,75
0.631921824104,0.635319614034,0.631921824104,0.629364988112,110,44,69,84
0.553745928339,0.554972599419,0.553745928339,0.551748819045,75,79,58,95
0.628664495114,0.628720393547,0.628664495114,0.628585675386,99,55,59,94
0.454545454545,0.459382915846,0.454545454545,0.428548390684,60,178,68,145
0.59645232816,0.596885430348,0.59645232816,0.587152936575,175,63,119,94
0.59866962306,0.604980544871,0.59866962306,0.579906809941,189,49,132,81
0.587583148559,0.587959452382,0.587583148559,0.576223531659,176,62,124,89
0.587583148559,0.587714453034,0.587583148559,0.576861521334,175,63,123,90
0.708411214953,0.708054419727,0.708411214953,0.708193101571,216,76,80,163
0.700934579439,0.7016534867,0.700934579439,0.70120590641,209,83,77,166
0.697196261682,0.70127186184,0.697196261682,0.69783240399,199,93,69,174
0.728971962617,0.735247206854,0.728971962617,0.722681955463,249,43,102,141
0.699065420561,0.698137988699,0.699065420561,0.697292200057,223,69,92,151
0.851515151515,0.864232339039,0.851515151515,0.850106204376,157,9,40,124
0.757575757576,0.76293460925,0.757575757576,0.756177983263,138,28,52,112
0.836363636364,0.842327076579,0.836363636364,0.835566029185,150,16,38,126
0.824242424242,0.838428904429,0.824242424242,0.822243174468,154,12,46,118
0.784848484848,0.786526032085,0.784848484848,0.78446242968,137,29,42,122
0.932258064516,0.932428479919,0.932258064516,0.932255949761,144,12,9,145
0.935483870968,0.935784745653,0.935483870968,0.935478499995,144,12,8,146
0.948387096774,0.949601214117,0.948387096774,0.948361307515,144,12,4,150
0.951612903226,0.953157752315,0.951612903226,0.951581166054,144,12,3,151
0.951612903226,0.953157752315,0.951612903226,0.951581166054,144,12,3,151
